dong_code,district,dong,store_count,population,supply_density_per_1000,low_population_flag,elderly_share_pct,youth_share_pct,hhi,leading_category,leading_share_pct,lq_교육 서비스업,lq_보건의료업,lq_부동산업,"lq_사업시설 관리, 사업 지원 및 임대 서비스업",lq_소매업,lq_수리 및 개인 서비스업,lq_숙박업,"lq_예술, 스포츠 및 여가관련 서비스업",lq_음식점업,"lq_전문, 과학 및 기술 서비스업",period,baseline_stores,surviving_stores,survival_pct
30110665,동구,성남동,530,10323,51.34,False,29.25,19.52,0.1915,음식점업,29.06,0.856,2.187,0.954,1.141,1.021,1.138,0.619,0.785,0.986,0.65,2026-03-01,457,372,81.4
30110670,동구,홍도동,510,10759,47.4,False,23.34,31.22,0.2059,음식점업,33.53,0.528,0.784,1.047,1.532,0.97,0.937,0.429,1.416,1.138,0.743,2026-03-01,467,351,75.16
30110695,동구,삼성동,724,12893,56.15,False,30.88,18.73,0.1911,"전문, 과학 및 기술 서비스업",27.9,0.588,0.662,0.699,1.81,0.995,0.904,0.604,0.574,0.53,3.205,2026-03-01,694,585,84.29
30110725,동구,대청동,126,2086,60.4,False,47.12,11.6,0.4399,음식점업,62.7,0.563,0.317,0.446,0.4,0.804,0.117,1.735,0.521,2.128,0.365,2026-03-01,117,100,85.47
30110740,동구,산내동,629,20873,30.13,False,22.84,18.54,0.1939,음식점업,28.62,0.925,1.08,0.938,1.202,1.071,1.064,1.564,0.626,0.971,0.895,2026-03-01,548,428,78.1
30140535,중구,은행선화동,2011,24072,83.54,False,14.05,30.94,0.198,소매업,30.33,0.896,0.994,0.88,1.353,1.181,0.669,1.413,0.871,0.942,1.177,2026-03-01,1964,1481,75.41
30140550,중구,목동,481,17347,27.73,False,12.13,22.83,0.1832,음식점업,25.16,3.214,0.914,1.169,0.367,0.818,0.948,0.0,1.138,0.854,0.597,2026-03-01,356,271,76.12
30140560,중구,중촌동,649,14932,43.46,False,23.25,24.35,0.1857,음식점업,27.12,0.809,0.8,0.909,1.592,0.99,1.28,0.168,1.012,0.921,0.921,2026-03-01,581,477,82.1
30140575,중구,대흥동,1777,12082,147.08,False,20.94,31.63,0.2512,음식점업,34.33,0.75,0.675,0.427,0.596,1.328,0.588,2.769,0.628,1.165,0.84,2026-03-01,1540,1055,68.51
30140605,중구,문창동,528,4057,130.15,False,37.91,15.78,0.2408,소매업,36.17,0.269,0.454,0.266,1.241,1.409,1.044,5.384,0.746,0.971,0.435,2026-03-01,485,386,79.59
30140620,중구,석교동,534,13460,39.67,False,36.17,17.22,0.1999,소매업,30.9,0.478,1.048,0.842,1.793,1.203,1.322,0.0,0.779,0.814,0.861,2026-03-01,507,402,79.29
30140630,중구,대사동,457,5166,88.46,False,31.84,30.45,0.2348,음식점업,37.64,0.714,1.137,0.738,0.993,1.006,0.981,1.435,0.623,1.278,0.528,2026-03-01,430,343,79.77
30140640,중구,부사동,492,5822,84.51,False,34.95,17.66,0.2448,소매업,35.37,0.432,1.381,0.685,0.768,1.377,0.717,1.778,0.845,1.083,0.63,2026-03-01,426,326,76.53
30140655,중구,용두동,535,9762,54.8,False,20.34,32.73,0.1835,소매업,28.79,1.193,1.12,1.366,1.225,1.121,1.251,1.022,0.491,0.787,0.795,2026-03-01,510,390,76.47
30140670,중구,오류동,889,9742,91.25,False,26.98,25.21,0.2123,음식점업,37.01,0.638,2.113,0.695,1.219,0.876,0.612,1.23,1.33,1.256,0.905,2026-03-01,799,605,75.72
30140680,중구,태평1동,583,12004,48.57,False,22.79,19.56,0.2161,소매업,31.05,1.241,1.508,0.723,0.562,1.209,1.072,0.188,1.051,0.99,0.335,2026-03-01,498,394,79.12
