category,dong_code,district,dong,category_store_count,population,low_population_flag,category_density_per_1000,lq
부동산업,30200546,유성구,노은1동,38,20549,False,1.85,0.853
부동산업,30200547,유성구,노은2동,44,23001,False,1.91,1.715
부동산업,30200548,유성구,노은3동,50,35391,False,1.41,1.229
부동산업,30110585,동구,대동,31,13251,False,2.34,1.479
부동산업,30140630,중구,대사동,12,5166,False,2.32,0.738
부동산업,30110725,동구,대청동,2,2086,False,0.96,0.446
부동산업,30230520,대덕구,대화동,12,5213,False,2.3,0.656
부동산업,30140575,중구,대흥동,27,12082,False,2.23,0.427
부동산업,30230570,대덕구,덕암동,17,12275,False,1.38,0.815
부동산업,30170520,서구,도마1동,53,17913,False,2.96,1.198
부동산업,30170530,서구,도마2동,48,19192,False,2.5,1.768
부동산업,30170593,서구,도안동,95,36402,False,2.61,1.263
부동산업,30170630,서구,둔산1동,87,16243,False,5.36,1.173
부동산업,30170640,서구,둔산2동,61,34031,False,1.79,0.586
부동산업,30170660,서구,둔산3동,23,18559,False,1.24,0.89
부동산업,30170650,서구,만년동,32,11901,False,2.69,1.08
부동산업,30140550,중구,목동,20,17347,False,1.15,1.169
부동산업,30230580,대덕구,목상동,7,5779,False,1.21,0.526
부동산업,30140605,중구,문창동,5,4057,False,1.23,0.266
부동산업,30140720,중구,문화1동,18,20041,False,0.9,0.754
부동산업,30140730,중구,문화2동,12,10964,False,1.09,0.841
부동산업,30230600,대덕구,법1동,12,12040,False,1.0,1.972
부동산업,30230610,대덕구,법2동,4,14312,False,0.28,0.37
부동산업,30170540,서구,변동,33,12149,False,2.72,1.414
부동산업,30170510,서구,복수동,23,20740,False,1.11,1.018
부동산업,30140640,중구,부사동,12,5822,False,2.06,0.685
부동산업,30230533,대덕구,비래동,24,14290,False,1.68,1.141
부동산업,30110740,동구,산내동,21,20873,False,1.01,0.938
부동산업,30140740,중구,산성동,42,24206,False,1.74,0.924
부동산업,30110695,동구,삼성동,18,12893,False,1.4,0.699
부동산업,30200527,유성구,상대동,65,24937,False,2.61,2.868
부동산업,30140620,중구,석교동,16,13460,False,1.19,0.842
부동산업,30230560,대덕구,석봉동,14,15634,False,0.9,0.67
부동산업,30110665,동구,성남동,18,10323,False,1.74,0.954
부동산업,30230543,대덕구,송촌동,23,26730,False,0.86,0.572
부동산업,30200550,유성구,신성동,53,25502,False,2.08,0.93
부동산업,30110545,동구,신인동,21,14690,False,1.43,1.475
부동산업,30230550,대덕구,신탄진동,25,15890,False,1.57,0.842
부동산업,30140670,중구,오류동,22,9742,False,2.26,0.695
부동산업,30230510,대덕구,오정동,38,13051,False,2.91,0.954
부동산업,30200530,유성구,온천1동,159,26687,False,5.96,1.359
부동산업,30200540,유성구,온천2동,112,40717,False,2.75,1.116
부동산업,30140655,중구,용두동,26,9762,False,2.66,1.366
부동산업,30170550,서구,용문동,49,19171,False,2.56,1.846
부동산업,30110560,동구,용운동,25,20730,False,1.21,0.804
부동산업,30110640,동구,용전동,55,19567,False,2.81,1.154
부동산업,30200610,유성구,원신흥동,54,32273,False,1.67,1.422
부동산업,30170586,서구,월평1동,51,10988,False,4.64,1.134
부동산업,30170587,서구,월평2동,22,13142,False,1.67,0.691
부동산업,30170588,서구,월평3동,11,19633,False,0.56,1.829
부동산업,30140700,중구,유천1동,11,5726,False,1.92,0.453
부동산업,30140710,중구,유천2동,23,12392,False,1.86,0.919
부동산업,30140535,중구,은행선화동,63,24072,False,2.62,0.88
부동산업,30110590,동구,자양동,38,10738,False,3.54,1.555
부동산업,30200570,유성구,전민동,32,25289,False,1.27,0.732
부동산업,30170535,서구,정림동,13,14475,False,0.9,0.629
부동산업,30230546,대덕구,중리동,31,17541,False,1.77,0.534
부동산업,30110515,동구,중앙동,26,3284,False,7.92,0.38
부동산업,30140560,중구,중촌동,21,14932,False,1.41,0.909
부동산업,30200520,유성구,진잠동,60,24825,False,2.42,1.375
부동산업,30170555,서구,탄방동,83,31149,False,2.66,0.84
부동산업,30140680,중구,태평1동,15,12004,False,1.25,0.723
부동산업,30140690,중구,태평2동,17,23217,False,0.73,1.103
부동산업,30110551,동구,판암1동,13,11601,False,1.12,0.925
부동산업,30110552,동구,판암2동,3,7601,False,0.39,0.527
부동산업,30200526,유성구,학하동,75,20609,False,3.64,2.048
부동산업,30110670,동구,홍도동,19,10759,False,1.77,1.047
부동산업,30230525,대덕구,회덕동,12,12035,False,1.0,0.709
부동산업,30110530,동구,효동,38,29268,False,1.3,0.906
"사업시설 관리, 사업 지원 및 임대 서비스업",30170590,서구,가수원동,39,9875,False,3.95,2.224
"사업시설 관리, 사업 지원 및 임대 서비스업",30110620,동구,가양1동,40,12670,False,3.16,1.634
"사업시설 관리, 사업 지원 및 임대 서비스업",30110630,동구,가양2동,29,17985,False,1.61,0.814
"사업시설 관리, 사업 지원 및 임대 서비스업",30170570,서구,가장동,24,10313,False,2.33,1.639
"사업시설 관리, 사업 지원 및 임대 서비스업",30170581,서구,갈마1동,53,20553,False,2.58,1.15
"사업시설 관리, 사업 지원 및 임대 서비스업",30170582,서구,갈마2동,69,22980,False,3.0,1.386
"사업시설 관리, 사업 지원 및 임대 서비스업",30170596,서구,관저1동,13,14339,False,0.91,0.598
"사업시설 관리, 사업 지원 및 임대 서비스업",30170597,서구,관저2동,28,47072,False,0.59,0.374
"사업시설 관리, 사업 지원 및 임대 서비스업",30200600,유성구,관평동,46,37715,False,1.22,0.626
"사업시설 관리, 사업 지원 및 임대 서비스업",30170560,서구,괴정동,84,18068,False,4.65,1.083
"사업시설 관리, 사업 지원 및 임대 서비스업",30200580,유성구,구즉동,8,32567,False,0.25,0.237
"사업시설 관리, 사업 지원 및 임대 서비스업",30170600,서구,기성동,9,3221,False,2.79,1.14
"사업시설 관리, 사업 지원 및 임대 서비스업",30170575,서구,내동,26,21507,False,1.21,0.996
"사업시설 관리, 사업 지원 및 임대 서비스업",30200546,유성구,노은1동,34,20549,False,1.65,0.684
"사업시설 관리, 사업 지원 및 임대 서비스업",30200547,유성구,노은2동,23,23001,False,1.0,0.804
"사업시설 관리, 사업 지원 및 임대 서비스업",30200548,유성구,노은3동,20,35391,False,0.57,0.441
"사업시설 관리, 사업 지원 및 임대 서비스업",30110585,동구,대동,30,13251,False,2.26,1.284
"사업시설 관리, 사업 지원 및 임대 서비스업",30140630,중구,대사동,18,5166,False,3.48,0.993
"사업시설 관리, 사업 지원 및 임대 서비스업",30110725,동구,대청동,2,2086,False,0.96,0.4
"사업시설 관리, 사업 지원 및 임대 서비스업",30230520,대덕구,대화동,47,5213,False,9.02,2.305
"사업시설 관리, 사업 지원 및 임대 서비스업",30140575,중구,대흥동,42,12082,False,3.48,0.596
"사업시설 관리, 사업 지원 및 임대 서비스업",30230570,대덕구,덕암동,23,12275,False,1.87,0.989
"사업시설 관리, 사업 지원 및 임대 서비스업",30170520,서구,도마1동,44,17913,False,2.46,0.892
"사업시설 관리, 사업 지원 및 임대 서비스업",30170530,서구,도마2동,35,19192,False,1.82,1.156
"사업시설 관리, 사업 지원 및 임대 서비스업",30170593,서구,도안동,75,36402,False,2.06,0.894
"사업시설 관리, 사업 지원 및 임대 서비스업",30170630,서구,둔산1동,67,16243,False,4.12,0.81
"사업시설 관리, 사업 지원 및 임대 서비스업",30170640,서구,둔산2동,85,34031,False,2.5,0.732
"사업시설 관리, 사업 지원 및 임대 서비스업",30170660,서구,둔산3동,14,18559,False,0.75,0.486
"사업시설 관리, 사업 지원 및 임대 서비스업",30170650,서구,만년동,53,11901,False,4.45,1.604
"사업시설 관리, 사업 지원 및 임대 서비스업",30140550,중구,목동,7,17347,False,0.4,0.367
"사업시설 관리, 사업 지원 및 임대 서비스업",30230580,대덕구,목상동,25,5779,False,4.33,1.685
"사업시설 관리, 사업 지원 및 임대 서비스업",30140605,중구,문창동,26,4057,False,6.41,1.241
"사업시설 관리, 사업 지원 및 임대 서비스업",30140720,중구,문화1동,29,20041,False,1.45,1.089
"사업시설 관리, 사업 지원 및 임대 서비스업",30140730,중구,문화2동,10,10964,False,0.91,0.628
"사업시설 관리, 사업 지원 및 임대 서비스업",30230600,대덕구,법1동,5,12040,False,0.42,0.737
"사업시설 관리, 사업 지원 및 임대 서비스업",30230610,대덕구,법2동,6,14312,False,0.42,0.497
"사업시설 관리, 사업 지원 및 임대 서비스업",30170540,서구,변동,62,12149,False,5.1,2.382
"사업시설 관리, 사업 지원 및 임대 서비스업",30170510,서구,복수동,23,20740,False,1.11,0.913
"사업시설 관리, 사업 지원 및 임대 서비스업",30140640,중구,부사동,15,5822,False,2.58,0.768
"사업시설 관리, 사업 지원 및 임대 서비스업",30230533,대덕구,비래동,27,14290,False,1.89,1.151
"사업시설 관리, 사업 지원 및 임대 서비스업",30110740,동구,산내동,30,20873,False,1.44,1.202
"사업시설 관리, 사업 지원 및 임대 서비스업",30140740,중구,산성동,88,24206,False,3.64,1.735
"사업시설 관리, 사업 지원 및 임대 서비스업",30110695,동구,삼성동,52,12893,False,4.03,1.81
"사업시설 관리, 사업 지원 및 임대 서비스업",30200527,유성구,상대동,13,24937,False,0.52,0.514
"사업시설 관리, 사업 지원 및 임대 서비스업",30140620,중구,석교동,38,13460,False,2.82,1.793
"사업시설 관리, 사업 지원 및 임대 서비스업",30230560,대덕구,석봉동,11,15634,False,0.7,0.472
"사업시설 관리, 사업 지원 및 임대 서비스업",30110665,동구,성남동,24,10323,False,2.32,1.141
"사업시설 관리, 사업 지원 및 임대 서비스업",30230543,대덕구,송촌동,26,26730,False,0.97,0.579
"사업시설 관리, 사업 지원 및 임대 서비스업",30200550,유성구,신성동,53,25502,False,2.08,0.834
"사업시설 관리, 사업 지원 및 임대 서비스업",30110545,동구,신인동,14,14690,False,0.95,0.882
"사업시설 관리, 사업 지원 및 임대 서비스업",30230550,대덕구,신탄진동,18,15890,False,1.13,0.544
"사업시설 관리, 사업 지원 및 임대 서비스업",30140670,중구,오류동,43,9742,False,4.41,1.219
"사업시설 관리, 사업 지원 및 임대 서비스업",30230510,대덕구,오정동,81,13051,False,6.21,1.823
"사업시설 관리, 사업 지원 및 임대 서비스업",30200530,유성구,온천1동,158,26687,False,5.92,1.211
"사업시설 관리, 사업 지원 및 임대 서비스업",30200540,유성구,온천2동,118,40717,False,2.9,1.054
"사업시설 관리, 사업 지원 및 임대 서비스업",30140655,중구,용두동,26,9762,False,2.66,1.225
"사업시설 관리, 사업 지원 및 임대 서비스업",30170550,서구,용문동,40,19171,False,2.09,1.351
"사업시설 관리, 사업 지원 및 임대 서비스업",30110560,동구,용운동,24,20730,False,1.16,0.692
"사업시설 관리, 사업 지원 및 임대 서비스업",30110640,동구,용전동,58,19567,False,2.96,1.091
"사업시설 관리, 사업 지원 및 임대 서비스업",30200610,유성구,원신흥동,29,32273,False,0.9,0.685
"사업시설 관리, 사업 지원 및 임대 서비스업",30170586,서구,월평1동,89,10988,False,8.1,1.775
"사업시설 관리, 사업 지원 및 임대 서비스업",30170587,서구,월평2동,39,13142,False,2.97,1.098
"사업시설 관리, 사업 지원 및 임대 서비스업",30170588,서구,월평3동,4,19633,False,0.2,0.597
"사업시설 관리, 사업 지원 및 임대 서비스업",30140700,중구,유천1동,18,5726,False,3.14,0.664
"사업시설 관리, 사업 지원 및 임대 서비스업",30140710,중구,유천2동,36,12392,False,2.91,1.291
"사업시설 관리, 사업 지원 및 임대 서비스업",30140535,중구,은행선화동,108,24072,False,4.49,1.353
"사업시설 관리, 사업 지원 및 임대 서비스업",30110590,동구,자양동,29,10738,False,2.7,1.064
"사업시설 관리, 사업 지원 및 임대 서비스업",30200570,유성구,전민동,13,25289,False,0.51,0.267
"사업시설 관리, 사업 지원 및 임대 서비스업",30170535,서구,정림동,10,14475,False,0.69,0.434
"사업시설 관리, 사업 지원 및 임대 서비스업",30230546,대덕구,중리동,47,17541,False,2.68,0.727
"사업시설 관리, 사업 지원 및 임대 서비스업",30110515,동구,중앙동,41,3284,False,12.48,0.538
"사업시설 관리, 사업 지원 및 임대 서비스업",30140560,중구,중촌동,41,14932,False,2.75,1.592
"사업시설 관리, 사업 지원 및 임대 서비스업",30200520,유성구,진잠동,67,24825,False,2.7,1.377
"사업시설 관리, 사업 지원 및 임대 서비스업",30170555,서구,탄방동,124,31149,False,3.98,1.125
"사업시설 관리, 사업 지원 및 임대 서비스업",30140680,중구,태평1동,13,12004,False,1.08,0.562
"사업시설 관리, 사업 지원 및 임대 서비스업",30140690,중구,태평2동,16,23217,False,0.69,0.931
"사업시설 관리, 사업 지원 및 임대 서비스업",30110551,동구,판암1동,12,11601,False,1.03,0.766
"사업시설 관리, 사업 지원 및 임대 서비스업",30110552,동구,판암2동,6,7601,False,0.79,0.945
"사업시설 관리, 사업 지원 및 임대 서비스업",30200526,유성구,학하동,73,20609,False,3.54,1.788
"사업시설 관리, 사업 지원 및 임대 서비스업",30110670,동구,홍도동,31,10759,False,2.88,1.532
"사업시설 관리, 사업 지원 및 임대 서비스업",30230525,대덕구,회덕동,25,12035,False,2.08,1.324
"사업시설 관리, 사업 지원 및 임대 서비스업",30110530,동구,효동,18,29268,False,0.62,0.385
소매업,30170590,서구,가수원동,118,9875,False,11.95,1.04
소매업,30110620,동구,가양1동,155,12670,False,12.23,0.978
소매업,30110630,동구,가양2동,248,17985,False,13.79,1.076
소매업,30170570,서구,가장동,94,10313,False,9.11,0.992
소매업,30170581,서구,갈마1동,243,20553,False,11.82,0.814
소매업,30170582,서구,갈마2동,247,22980,False,10.75,0.766
소매업,30170596,서구,관저1동,122,14339,False,8.51,0.867
소매업,30170597,서구,관저2동,363,47072,False,7.71,0.75
소매업,30200600,유성구,관평동,455,37715,False,12.06,0.957
소매업,30170560,서구,괴정동,581,18068,False,32.16,1.157
소매업,30200580,유성구,구즉동,201,32567,False,6.17,0.919
소매업,30170600,서구,기성동,64,3221,False,19.87,1.253
소매업,30170575,서구,내동,160,21507,False,7.44,0.947
소매업,30200546,유성구,노은1동,336,20549,False,16.35,1.045
소매업,30200547,유성구,노은2동,172,23001,False,7.48,0.929
소매업,30200548,유성구,노은3동,242,35391,False,6.84,0.825
소매업,30110585,동구,대동,148,13251,False,11.17,0.979
소매업,30140630,중구,대사동,118,5166,False,22.84,1.006
소매업,30110725,동구,대청동,26,2086,False,12.46,0.804
소매업,30230520,대덕구,대화동,151,5213,False,28.97,1.144
소매업,30140575,중구,대흥동,606,12082,False,50.16,1.328
소매업,30230570,대덕구,덕암동,180,12275,False,14.66,1.196
소매업,30170520,서구,도마1동,466,17913,False,26.01,1.46
소매업,30170530,서구,도마2동,210,19192,False,10.94,1.072
소매업,30170593,서구,도안동,383,36402,False,10.52,0.706
소매업,30170630,서구,둔산1동,188,16243,False,11.57,0.351
소매업,30170640,서구,둔산2동,742,34031,False,21.8,0.988
소매업,30170660,서구,둔산3동,218,18559,False,11.75,1.169
소매업,30170650,서구,만년동,176,11901,False,14.79,0.823
소매업,30140550,중구,목동,101,17347,False,5.82,0.818
소매업,30230580,대덕구,목상동,90,5779,False,15.57,0.937
소매업,30140605,중구,문창동,191,4057,False,47.08,1.409
소매업,30140720,중구,문화1동,183,20041,False,9.13,1.062
소매업,30140730,중구,문화2동,115,10964,False,10.49,1.117
소매업,30230600,대덕구,법1동,42,12040,False,3.49,0.957
소매업,30230610,대덕구,법2동,102,14312,False,7.13,1.307
소매업,30170540,서구,변동,170,12149,False,13.99,1.009
소매업,30170510,서구,복수동,122,20740,False,5.88,0.748
소매업,30140640,중구,부사동,174,5822,False,29.89,1.377
소매업,30230533,대덕구,비래동,164,14290,False,11.48,1.081
소매업,30110740,동구,산내동,173,20873,False,8.29,1.071
소매업,30140740,중구,산성동,398,24206,False,16.44,1.213
