period,dong_code,district,dong,category,store_count
2024-03-01,30110725,동구,대청동,"사업시설 관리, 사업 지원 및 임대 서비스업",2
2024-03-01,30110725,동구,대청동,소매업,25
2024-03-01,30110725,동구,대청동,수리 및 개인 서비스업,1
2024-03-01,30110725,동구,대청동,숙박업,2
2024-03-01,30110725,동구,대청동,"예술, 스포츠 및 여가관련 서비스업",2
2024-03-01,30110725,동구,대청동,음식점업,75
2024-03-01,30110725,동구,대청동,"전문, 과학 및 기술 서비스업",3
2024-03-01,30110740,동구,산내동,교육 서비스업,20
2024-03-01,30110740,동구,산내동,보건의료업,3
2024-03-01,30110740,동구,산내동,부동산업,16
2024-03-01,30110740,동구,산내동,"사업시설 관리, 사업 지원 및 임대 서비스업",28
2024-03-01,30110740,동구,산내동,소매업,157
2024-03-01,30110740,동구,산내동,수리 및 개인 서비스업,80
2024-03-01,30110740,동구,산내동,숙박업,8
2024-03-01,30110740,동구,산내동,"예술, 스포츠 및 여가관련 서비스업",18
2024-03-01,30110740,동구,산내동,음식점업,182
2024-03-01,30110740,동구,산내동,"전문, 과학 및 기술 서비스업",36
2024-03-01,30140535,중구,은행선화동,교육 서비스업,66
2024-03-01,30140535,중구,은행선화동,보건의료업,14
2024-03-01,30140535,중구,은행선화동,부동산업,62
2024-03-01,30140535,중구,은행선화동,"사업시설 관리, 사업 지원 및 임대 서비스업",101
2024-03-01,30140535,중구,은행선화동,소매업,695
2024-03-01,30140535,중구,은행선화동,수리 및 개인 서비스업,196
2024-03-01,30140535,중구,은행선화동,숙박업,22
2024-03-01,30140535,중구,은행선화동,"예술, 스포츠 및 여가관련 서비스업",86
2024-03-01,30140535,중구,은행선화동,음식점업,524
2024-03-01,30140535,중구,은행선화동,"전문, 과학 및 기술 서비스업",198
2024-03-01,30140550,중구,목동,교육 서비스업,50
2024-03-01,30140550,중구,목동,보건의료업,5
2024-03-01,30140550,중구,목동,부동산업,12
2024-03-01,30140550,중구,목동,"사업시설 관리, 사업 지원 및 임대 서비스업",4
2024-03-01,30140550,중구,목동,소매업,75
2024-03-01,30140550,중구,목동,수리 및 개인 서비스업,52
2024-03-01,30140550,중구,목동,숙박업,0
2024-03-01,30140550,중구,목동,"예술, 스포츠 및 여가관련 서비스업",20
2024-03-01,30140550,중구,목동,음식점업,118
2024-03-01,30140550,중구,목동,"전문, 과학 및 기술 서비스업",20
2024-03-01,30140560,중구,중촌동,교육 서비스업,20
2024-03-01,30140560,중구,중촌동,보건의료업,2
2024-03-01,30140560,중구,중촌동,부동산업,16
2024-03-01,30140560,중구,중촌동,"사업시설 관리, 사업 지원 및 임대 서비스업",31
2024-03-01,30140560,중구,중촌동,소매업,154
2024-03-01,30140560,중구,중촌동,수리 및 개인 서비스업,101
2024-03-01,30140560,중구,중촌동,숙박업,1
2024-03-01,30140560,중구,중촌동,"예술, 스포츠 및 여가관련 서비스업",28
2024-03-01,30140560,중구,중촌동,음식점업,176
2024-03-01,30140560,중구,중촌동,"전문, 과학 및 기술 서비스업",52
2024-03-01,30140575,중구,대흥동,교육 서비스업,52
2024-03-01,30140575,중구,대흥동,보건의료업,7
2024-03-01,30140575,중구,대흥동,부동산업,20
2024-03-01,30140575,중구,대흥동,"사업시설 관리, 사업 지원 및 임대 서비스업",41
2024-03-01,30140575,중구,대흥동,소매업,465
2024-03-01,30140575,중구,대흥동,수리 및 개인 서비스업,118
2024-03-01,30140575,중구,대흥동,숙박업,44
2024-03-01,30140575,중구,대흥동,"예술, 스포츠 및 여가관련 서비스업",54
2024-03-01,30140575,중구,대흥동,음식점업,617
2024-03-01,30140575,중구,대흥동,"전문, 과학 및 기술 서비스업",122
2024-03-01,30140605,중구,문창동,교육 서비스업,5
2024-03-01,30140605,중구,문창동,보건의료업,2
2024-03-01,30140605,중구,문창동,부동산업,7
2024-03-01,30140605,중구,문창동,"사업시설 관리, 사업 지원 및 임대 서비스업",20
2024-03-01,30140605,중구,문창동,소매업,169
2024-03-01,30140605,중구,문창동,수리 및 개인 서비스업,72
2024-03-01,30140605,중구,문창동,숙박업,22
2024-03-01,30140605,중구,문창동,"예술, 스포츠 및 여가관련 서비스업",21
2024-03-01,30140605,중구,문창동,음식점업,146
2024-03-01,30140605,중구,문창동,"전문, 과학 및 기술 서비스업",21
2024-03-01,30140620,중구,석교동,교육 서비스업,9
2024-03-01,30140620,중구,석교동,보건의료업,3
2024-03-01,30140620,중구,석교동,부동산업,17
2024-03-01,30140620,중구,석교동,"사업시설 관리, 사업 지원 및 임대 서비스업",33
2024-03-01,30140620,중구,석교동,소매업,160
2024-03-01,30140620,중구,석교동,수리 및 개인 서비스업,102
2024-03-01,30140620,중구,석교동,숙박업,0
2024-03-01,30140620,중구,석교동,"예술, 스포츠 및 여가관련 서비스업",22
2024-03-01,30140620,중구,석교동,음식점업,125
2024-03-01,30140620,중구,석교동,"전문, 과학 및 기술 서비스업",36
2024-03-01,30140630,중구,대사동,교육 서비스업,11
2024-03-01,30140630,중구,대사동,보건의료업,12
2024-03-01,30140630,중구,대사동,부동산업,11
2024-03-01,30140630,중구,대사동,"사업시설 관리, 사업 지원 및 임대 서비스업",15
2024-03-01,30140630,중구,대사동,소매업,128
2024-03-01,30140630,중구,대사동,수리 및 개인 서비스업,58
2024-03-01,30140630,중구,대사동,숙박업,8
2024-03-01,30140630,중구,대사동,"예술, 스포츠 및 여가관련 서비스업",14
2024-03-01,30140630,중구,대사동,음식점업,152
2024-03-01,30140630,중구,대사동,"전문, 과학 및 기술 서비스업",21
