period,level,code,name
2024-09-01,법정동,3017012000,장안동
2024-09-01,법정동,3017012100,평촌동
2024-09-01,법정동,3017012200,오동
2024-09-01,법정동,3017012300,우명동
2024-09-01,법정동,3017012400,원정동
2024-09-01,법정동,3017012600,봉곡동
2024-09-01,법정동,3017012700,괴곡동
2024-09-01,법정동,3017012800,만년동
2024-09-01,법정동,3020010100,원내동
2024-09-01,법정동,3020010200,교촌동
2024-09-01,법정동,3020010300,대정동
2024-09-01,법정동,3020010400,용계동
2024-09-01,법정동,3020010500,학하동
2024-09-01,법정동,3020010600,계산동
2024-09-01,법정동,3020010700,성북동
2024-09-01,법정동,3020010800,세동
2024-09-01,법정동,3020010900,송정동
2024-09-01,법정동,3020011000,방동
2024-09-01,법정동,3020011100,봉명동
2024-09-01,법정동,3020011200,구암동
2024-09-01,법정동,3020011300,덕명동
2024-09-01,법정동,3020011400,원신흥동
2024-09-01,법정동,3020011500,상대동
2024-09-01,법정동,3020011600,복용동
2024-09-01,법정동,3020011700,장대동
2024-09-01,법정동,3020011800,갑동
2024-09-01,법정동,3020011900,노은동
2024-09-01,법정동,3020012000,지족동
2024-09-01,법정동,3020012100,죽동
2024-09-01,법정동,3020012200,궁동
2024-09-01,법정동,3020012300,어은동
2024-09-01,법정동,3020012400,구성동
2024-09-01,법정동,3020012500,신성동
2024-09-01,법정동,3020012600,가정동
2024-09-01,법정동,3020012700,도룡동
2024-09-01,법정동,3020012800,장동
2024-09-01,법정동,3020012900,방현동
2024-09-01,법정동,3020013000,화암동
2024-09-01,법정동,3020013100,덕진동
2024-09-01,법정동,3020013200,하기동
2024-09-01,법정동,3020013300,추목동
2024-09-01,법정동,3020013400,자운동
2024-09-01,법정동,3020013500,신봉동
2024-09-01,법정동,3020013600,수남동
2024-09-01,법정동,3020013700,안산동
2024-09-01,법정동,3020013800,외삼동
2024-09-01,법정동,3020013900,반석동
2024-09-01,법정동,3020014000,문지동
2024-09-01,법정동,3020014100,전민동
2024-09-01,법정동,3020014200,원촌동
2024-09-01,법정동,3020014300,탑립동
2024-09-01,법정동,3020014400,용산동
2024-09-01,법정동,3020014500,봉산동
2024-09-01,법정동,3020014600,관평동
2024-09-01,법정동,3020014700,송강동
2024-09-01,법정동,3020014800,금고동
2024-09-01,법정동,3020014900,대동
2024-09-01,법정동,3020015000,금탄동
2024-09-01,법정동,3020015100,신동
2024-09-01,법정동,3020015200,둔곡동
2024-09-01,법정동,3020015300,구룡동
2024-09-01,법정동,3023010100,오정동
2024-09-01,법정동,3023010200,대화동
2024-09-01,법정동,3023010300,읍내동
2024-09-01,법정동,3023010400,연축동
2024-09-01,법정동,3023010500,신대동
2024-09-01,법정동,3023010600,와동
2024-09-01,법정동,3023010700,송촌동
2024-09-01,법정동,3023010800,법동
2024-09-01,법정동,3023010900,중리동
2024-09-01,법정동,3023011000,비래동
2024-09-01,법정동,3023011100,석봉동
2024-09-01,법정동,3023011200,목상동
2024-09-01,법정동,3023011300,문평동
2024-09-01,법정동,3023011400,신일동
2024-09-01,법정동,3023011500,덕암동
2024-09-01,법정동,3023011600,상서동
2024-09-01,법정동,3023011700,평촌동
2024-09-01,법정동,3023011800,장동
2024-09-01,법정동,3023011900,용호동
2024-09-01,법정동,3023012000,이현동
2024-09-01,법정동,3023012100,갈전동
2024-09-01,법정동,3023012400,삼정동
2024-09-01,법정동,3023012500,미호동
2024-09-01,법정동,3023012600,신탄진동
2024-09-01,시군구,30110,동구
2024-09-01,시군구,30140,중구
2024-09-01,시군구,30170,서구
2024-09-01,시군구,30200,유성구
2024-09-01,시군구,30230,대덕구
2024-09-01,시도,30,대전광역시
2024-09-01,행정동,30110515,중앙동
2024-09-01,행정동,30110530,효동
2024-09-01,행정동,30110545,신인동
2024-09-01,행정동,30110551,판암1동
2024-09-01,행정동,30110552,판암2동
