period,category_code,category,store_count,confirmed_count,coverage_status,has_legacy_ancestor,crosswalk_type,mapping_type,mapping_confidence
2024-12-01,Q10205,안과 의원,36,36,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,Q10206,이비인후과 의원,54,54,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,Q10207,산부인과 의원,41,41,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,Q10208,성형외과 의원,44,44,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,Q10209,기타 의원,104,104,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,Q10210,치과의원,410,410,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,Q10211,한의원,372,372,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,Q10212,방사선 진단/병리 검사 의원,22,22,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,Q10402,유사 의료업,143,143,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,S20902,셀프 빨래방,197,197,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,G20602,주류 소매업,18,18,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,I20202,마라탕/훠궈,124,124,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,M10502,옥외/전시 광고 대행업,51,51,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,M10503,광고 매체 판매업,18,18,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,M10601,시장 조사 및 여론 조사업,48,48,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,M10901,건축 설계 및 관련 서비스업,504,504,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,M10902,도시 계획 및 조경 설계 서비스업,44,44,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,M10903,건물 및 토목 엔지니어링 서비스업,162,162,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,M10904,환경 관련 엔지니어링 서비스업,67,67,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,M10999,기타 엔지니어링 서비스업,286,286,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,M11101,동물병원,108,108,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,M11201,인테리어 디자인업,732,732,관측체계 내 확정집계,True,추가,추가,소분류확정
