period,category_code,category,store_count,confirmed_count,coverage_status
2024-06-01,M106,시장 조사 및 여론 조사업,42,42,관측체계 내 확정집계
2024-06-01,M107,회사 본부 및 경영 컨설팅 서비스업,965,965,관측체계 내 확정집계
2024-06-01,M109,"건축 기술, 엔지니어링 및 관련 기술 서비스업",1029,1029,관측체계 내 확정집계
2024-06-01,M111,수의업,103,103,관측체계 내 확정집계
2024-06-01,M112,전문 디자인업,1082,1082,관측체계 내 확정집계
2024-06-01,M113,사진 촬영 및 처리업,478,478,관측체계 내 확정집계
2024-06-01,M114,인쇄 및 제품 제작업,619,619,관측체계 내 확정집계
2024-06-01,M115,"그 외 기타 전문, 과학 및 기술 서비스업",82,82,관측체계 내 확정집계
2024-06-01,N101,사업시설 유지ㆍ관리 서비스업,174,174,관측체계 내 확정집계
2024-06-01,N102,건물ㆍ산업설비 청소 및 방제 서비스업,843,843,관측체계 내 확정집계
2024-06-01,N103,조경관리 및 유지 서비스업,37,37,관측체계 내 확정집계
2024-06-01,N104,고용 알선 및 인력 공급업,370,370,관측체계 내 확정집계
2024-06-01,N105,여행사 및 기타 여행 보조 서비스업,315,315,관측체계 내 확정집계
2024-06-01,N107,사무 지원 서비스업,140,140,관측체계 내 확정집계
2024-06-01,N108,기타 사업 지원 서비스업,350,350,관측체계 내 확정집계
2024-06-01,N109,운송장비 대여업,104,104,관측체계 내 확정집계
2024-06-01,N110,개인 및 가정용품 대여업,252,252,관측체계 내 확정집계
2024-06-01,N111,산업용 기계 및 장비 대여업,183,183,관측체계 내 확정집계
2024-06-01,P105,일반 교육기관,872,872,관측체계 내 확정집계
2024-06-01,P106,기타 교육기관,2000,2000,관측체계 내 확정집계
2024-06-01,P107,교육 지원 서비스업,282,282,관측체계 내 확정집계
2024-06-01,Q101,병원,90,90,관측체계 내 확정집계
2024-06-01,Q102,의원,589,589,관측체계 내 확정집계
2024-06-01,Q104,기타 보건업,73,73,관측체계 내 확정집계
2024-06-01,R102,"도서관, 사적지 및 유사 여가관련 서비스업",316,316,관측체계 내 확정집계
2024-06-01,R103,스포츠 서비스업,1291,1291,관측체계 내 확정집계
2024-06-01,R104,유원지 및 기타 오락관련 서비스업,1781,1781,관측체계 내 확정집계
2024-06-01,S201,컴퓨터 및 주변 기기 수리업,255,255,관측체계 내 확정집계
2024-06-01,S202,통신장비 수리업,45,45,관측체계 내 확정집계
2024-06-01,S203,자동차 수리 및 세차업,1678,1678,관측체계 내 확정집계
2024-06-01,S204,모터사이클 수리업,83,83,관측체계 내 확정집계
2024-06-01,S205,가전제품 수리업,391,391,관측체계 내 확정집계
2024-06-01,S206,기타 개인 및 가정용품 수리업,494,494,관측체계 내 확정집계
2024-06-01,S207,이용 및 미용업,5405,5405,관측체계 내 확정집계
2024-06-01,S208,"욕탕, 마사지 및 기타 신체 관리 서비스업",318,318,관측체계 내 확정집계
2024-06-01,S209,세탁업,761,761,관측체계 내 확정집계
2024-06-01,S210,장례식장 및 관련 서비스업,138,138,관측체계 내 확정집계
2024-06-01,S211,기타 개인서비스,97,97,관측체계 내 확정집계
2024-09-01,G202,자동차 부품 및 내장품 소매업,298,298,관측체계 내 확정집계
2024-09-01,G203,모터사이클 및 부품 소매업,65,65,관측체계 내 확정집계
2024-09-01,G204,종합 소매업,3054,3054,관측체계 내 확정집계
2024-09-01,G205,식료품 소매업,1879,1879,관측체계 내 확정집계
2024-09-01,G206,음료 소매업,66,66,관측체계 내 확정집계
2024-09-01,G207,담배 소매업,100,100,관측체계 내 확정집계
2024-09-01,G208,가전제품 및 정보 통신장비 소매업,1246,1246,관측체계 내 확정집계
2024-09-01,G209,"섬유, 의복, 신발 및 가죽제품 소매업",4582,4582,관측체계 내 확정집계
2024-09-01,G210,"철물, 공구, 창호 및 건설자재 소매업",668,668,관측체계 내 확정집계
2024-09-01,G211,가구 소매업,305,305,관측체계 내 확정집계
2024-09-01,G212,기타 생활용품 소매업,564,564,관측체계 내 확정집계
2024-09-01,G213,"문화, 오락 및 여가 용품 소매업",916,916,관측체계 내 확정집계
2024-09-01,G214,연료소매업,399,399,관측체계 내 확정집계
2024-09-01,G215,"의약품, 의료용 기구, 화장품 및 방향제 소매업",1835,1835,관측체계 내 확정집계
2024-09-01,G216,"사무용 기기, 안경, 사진장비 및 정밀기기 소매업",388,388,관측체계 내 확정집계
2024-09-01,G217,시계 및 귀금속 소매업,325,325,관측체계 내 확정집계
2024-09-01,G218,"예술품, 기념품 및 장식용품 소매업",263,263,관측체계 내 확정집계
2024-09-01,G219,화초 및 식물 소매업,318,318,관측체계 내 확정집계
2024-09-01,G220,애완용 동물 및 관련용품 소매업,301,301,관측체계 내 확정집계
2024-09-01,G221,기타 상품 전문 소매업,249,249,관측체계 내 확정집계
2024-09-01,G222,중고 상품 소매업,358,358,관측체계 내 확정집계
2024-09-01,I101,일반 및 생활 숙박시설 운영업,600,600,관측체계 내 확정집계
2024-09-01,I102,기타 숙박업,47,47,관측체계 내 확정집계
2024-09-01,I201,한식 음식점업,9279,9279,관측체계 내 확정집계
2024-09-01,I202,중식 음식점업,752,752,관측체계 내 확정집계
2024-09-01,I203,일식 음식점업,654,654,관측체계 내 확정집계
2024-09-01,I204,서양식 음식점업,614,614,관측체계 내 확정집계
2024-09-01,I205,동남아시아 음식점업,121,121,관측체계 내 확정집계
2024-09-01,I206,기타 외국식 음식점업,0,0,관측체계 내 확정집계
2024-09-01,I207,구내식당 및 뷔페,208,208,관측체계 내 확정집계
2024-09-01,I210,기타 간이 음식점업,4588,4588,관측체계 내 확정집계
2024-09-01,I211,주점업,2125,2125,관측체계 내 확정집계
2024-09-01,I212,비알코올 음료점업,3605,3605,관측체계 내 확정집계
2024-09-01,L102,부동산관련 서비스업,2435,2435,관측체계 내 확정집계
