period,district,category_code,category_normalized,store_count_normalized,confirmed_count,coverage_status,qoq_pct_normalized,yoy_pct_normalized,quarter_normalized,is_quarter_end_snapshot_normalized,is_main_normalized,category_previous,store_count_previous,qoq_pct_previous,yoy_pct_previous,quarter_previous,is_quarter_end_snapshot_previous,is_main_previous,difference,qoq_difference_pp,yoy_difference_pp
2024-06-01,서구,S2,수리 및 개인 서비스업,3312,3312,관측체계 내 확정집계,-0.95693780,,2024Q2,True,False,수리·개인,3312,-0.95693780,,2024Q2,True,False,0,0.00000000,
2024-06-01,서구,I1,숙박업,126,126,관측체계 내 확정집계,4.13223140,,2024Q2,True,False,숙박,126,4.13223140,,2024Q2,True,False,0,0.00000000,
2024-06-01,서구,R1,"예술, 스포츠 및 여가관련 서비스업",1176,1176,관측체계 내 확정집계,-2.56835128,,2024Q2,True,False,예술·스포츠,1176,-2.56835128,,2024Q2,True,False,0,-0.00000000,
2024-06-01,서구,I2,음식점업,7115,7115,관측체계 내 확정집계,-2.80054645,,2024Q2,True,False,음식,7115,-2.80054645,,2024Q2,True,False,0,0.00000000,
2024-06-01,서구,M1,"전문, 과학 및 기술 서비스업",2651,2651,관측체계 내 확정집계,-0.86013463,,2024Q2,True,False,과학·기술,2651,-0.86013463,,2024Q2,True,False,0,0.00000000,
2024-06-01,유성구,P1,교육 서비스업,934,934,관측체계 내 확정집계,-1.26849894,,2024Q2,True,False,교육,934,-1.26849894,,2024Q2,True,False,0,-0.00000000,
2024-06-01,유성구,Q1,보건의료업,168,168,관측체계 내 확정집계,-1.75438596,,2024Q2,True,False,보건의료,168,-1.75438596,,2024Q2,True,False,0,-0.00000000,
2024-06-01,유성구,L1,부동산업,681,681,관측체계 내 확정집계,-2.01438849,,2024Q2,True,False,부동산,681,-2.01438849,,2024Q2,True,False,0,0.00000000,
2024-06-01,유성구,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",626,626,관측체계 내 확정집계,-0.63492063,,2024Q2,True,False,시설관리·임대,626,-0.63492063,,2024Q2,True,False,0,-0.00000000,
2024-06-01,유성구,G2,소매업,4307,4307,관측체계 내 확정집계,-1.95765991,,2024Q2,True,False,소매,4307,-1.95765991,,2024Q2,True,False,0,-0.00000000,
2024-06-01,유성구,S2,수리 및 개인 서비스업,2136,2136,관측체계 내 확정집계,-0.41958042,,2024Q2,True,False,수리·개인,2136,-0.41958042,,2024Q2,True,False,0,0.00000000,
2024-06-01,유성구,I1,숙박업,124,124,관측체계 내 확정집계,-3.12500000,,2024Q2,True,False,숙박,124,-3.12500000,,2024Q2,True,False,0,0.00000000,
2024-06-01,유성구,R1,"예술, 스포츠 및 여가관련 서비스업",786,786,관측체계 내 확정집계,-3.08261406,,2024Q2,True,False,예술·스포츠,786,-3.08261406,,2024Q2,True,False,0,0.00000000,
2024-06-01,유성구,I2,음식점업,6012,6012,관측체계 내 확정집계,-2.40259740,,2024Q2,True,False,음식,6012,-2.40259740,,2024Q2,True,False,0,-0.00000000,
2024-06-01,유성구,M1,"전문, 과학 및 기술 서비스업",1519,1519,관측체계 내 확정집계,-0.06578947,,2024Q2,True,False,과학·기술,1519,-0.06578947,,2024Q2,True,False,0,-0.00000000,
2024-06-01,중구,P1,교육 서비스업,413,413,관측체계 내 확정집계,-1.43198091,,2024Q2,True,False,교육,413,-1.43198091,,2024Q2,True,False,0,0.00000000,
2024-06-01,중구,Q1,보건의료업,104,104,관측체계 내 확정집계,0.00000000,,2024Q2,True,False,보건의료,104,0.00000000,,2024Q2,True,False,0,0.00000000,
2024-06-01,중구,L1,부동산업,319,319,관측체계 내 확정집계,-0.93167702,,2024Q2,True,False,부동산,319,-0.93167702,,2024Q2,True,False,0,0.00000000,
2024-06-01,중구,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",493,493,관측체계 내 확정집계,-1.00401606,,2024Q2,True,False,시설관리·임대,493,-1.00401606,,2024Q2,True,False,0,-0.00000000,
2024-06-01,중구,G2,소매업,3533,3533,관측체계 내 확정집계,-1.69727323,,2024Q2,True,False,소매,3533,-1.69727323,,2024Q2,True,False,0,-0.00000000,
2024-06-01,중구,S2,수리 및 개인 서비스업,1605,1605,관측체계 내 확정집계,-0.43424318,,2024Q2,True,False,수리·개인,1605,-0.43424318,,2024Q2,True,False,0,0.00000000,
2024-06-01,중구,I1,숙박업,160,160,관측체계 내 확정집계,0.62893082,,2024Q2,True,False,숙박,160,0.62893082,,2024Q2,True,False,0,-0.00000000,
2024-06-01,중구,R1,"예술, 스포츠 및 여가관련 서비스업",521,521,관측체계 내 확정집계,-4.40366972,,2024Q2,True,False,예술·스포츠,521,-4.40366972,,2024Q2,True,False,0,-0.00000000,
2024-06-01,중구,I2,음식점업,3782,3782,관측체계 내 확정집계,-2.09681595,,2024Q2,True,False,음식,3782,-2.09681595,,2024Q2,True,False,0,0.00000000,
2024-06-01,중구,M1,"전문, 과학 및 기술 서비스업",816,816,관측체계 내 확정집계,-0.85054678,,2024Q2,True,False,과학·기술,816,-0.85054678,,2024Q2,True,False,0,-0.00000000,
